Service_Category,Service_Type,Location_Name,Description,Website,Service_Phone,Location_Address_1,Location_Suburb,Location_State,Location_Postcode,Latitude,Longitude
Accommodation Services,Crisis & Emergency Accommodation,Australian Red Cross - Milton,Australian Red Cross provides Crisis and Emergency,http://www.redcross.org.au,(07) 3367 7222,123 Example Street,MILTON,QLD,4064,-27.472,153.004
Accommodation Services,Crisis & Emergency Accommodation,BRIC Housing - Spring Hill,The Better Housing Projects provide housing accomm,http://www.bric.org.au/,(07) 3230 5555,124 Example Street,SPRING HILL,QLD,4000,-27.459,153.02
Accommodation Services,Crisis & Emergency Accommodation,Brisbane Housing Company (BHC),"A not-for-profit organisation, our vision is to cr",,(07) 3307 3000,125 Example Street,SPRING HILL,QLD,4000,-27.463,153.025
Accommodation Services,Crisis & Emergency Accommodation,Churches of Christ in Queensland Head Office,Care Housing is the Welfare Services Division of C,http://www.cofc.com.au/,(07) 3327 1600,126 Example Street,KENMORE,QLD,4069,-27.505,152.935
Accommodation Services,Crisis & Emergency Accommodation,DV Connect - Womensline,"Counselling, information, refuge and safety.",http://www.dvconnect.org,1800 811 811,127 Example Street,,,,-27.385,153.12
Accommodation Services,Crisis & Emergency Accommodation,Elorac Place,We have 2 SAAP houses where we accommodate young w,,(07) 3271 3592,128 Example Street,ELLEN GROVE,QLD,4078,-27.614,152.938
Accommodation Services,Crisis & Emergency Accommodation,Gateway Community Group Inc,Gateway works to respond to the housing needs of d,http://www.gatewaycg.org.au/,(07) 3890 8122,129 Example Street,MURARRIE,QLD,4172,-27.469,153.097
Accommodation Services,Crisis & Emergency Accommodation,HART4000 - Homelessness Assistance and Referral Team,HART4000We are an assessment and referral team tha,http://www.under1roof.org.au/contact-us/,(07) 3004 0100,130 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.034
Accommodation Services,Crisis & Emergency Accommodation,Homeless Hotline,Homeless Hotline is a phone information and referr,https://www.qld.gov.au/housing/emergency-temporary-accommodation/homeless-persons-information-qld/,1800 474 753,131 Example Street,,,,-27.47,153.023
Accommodation Services,Crisis & Emergency Accommodation,Inala Respite Centre,The Inala Day Respite Centre offers day care for f,http://www.inalarespitecentre.com.au/,(07) 3278 8432,132 Example Street,INALA,QLD,4077,-27.605,152.973
Accommodation Services,Crisis & Emergency Accommodation,Lifeline - Brisbane - Client Services,Lifeline Community Care Qld (LCC) provides support,http://www.uccommunity.org.au,(07) 3250 1900,133 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.031
Accommodation Services,Crisis & Emergency Accommodation,Nathanael House Crisis Youth Shelter,Nathanael House Crisis Youth Shelter provides cris,,(07) 3849 4038,134 Example Street,MT GRAVATT,QLD,4122,-27.531,153.083
Accommodation Services,Crisis & Emergency Accommodation,Ozcare Homeless Hostel (Men) - South Brisbane,Ozcare provides temporary accommodation and flexib,http://www.ozcare.org.au,1800 692 273,135 Example Street,SOUTH BRISBANE,QLD,4101,-27.473,153.014
Accommodation Services,Crisis & Emergency Accommodation,Queensland Disability Housing Coalition,QDHC provides information about housing options av,http://www.qdhc.org.au,(07) 3391 3433,136 Example Street,WOOLLOONGABBA,QLD,4102,-27.492,153.04
Accommodation Services,Crisis & Emergency Accommodation,Queensland Homicide Victims Support Group,The Queensland Homicide Victims Support Group offe,,(07) 3857 4744,137 Example Street,LUTWYCHE,QLD,4030,-27.422,153.033
Accommodation Services,Crisis & Emergency Accommodation,Queensland Youth Housing Coalition,The QYHC provides information to young people thro,http://www.qyhc.org.au,0439 739 747,138 Example Street,PADDINGTON,QLD,4064,-27.461,153.006
