Day,Time,Address,Suburb,Postcode,Provider,Food,Cost,Type,Status,Latitude,Longitude
Monday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Monday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Monday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Monday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Monday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Tuesday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Tuesday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Monday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Monday,14:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Afternoon Tea,Free,Kitchen,Active,-27.461,153.038
Monday,19:00:00,Emma Miller Place,Brisbane,4000,Vital Connection,Vegetarian,Free,Van,Active,-27.467,153.022
Monday,19:30:00,"Emma Miller Place, Roma Street",Brisbane,4000,Rosies Youth Mission Inc,Hot Drinks,Free,Van,Active,-27.466,153.019
Tuesday,06:45:00,Kemp Place (opposite Fire Station),Fortitude Valley,4006,Nudgee College BBQ,BBQ,Free,Van,Active,-27.46,153.034
Tuesday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Tuesday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Tuesday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Tuesday,08:00:00,43 St Pauls Terrace,Spring Hill,4000,St Pauls Presbyterian Church,"Morning Cuppa, during School Terms",Free,Kitchen,Active,-27.46,153.027
Tuesday,19:00:00,Emma Miller Place/Little Roma Street,Brisbane,4000,Eddies Night Van,Drinks & Snacks,Free,Van,Active,-27.467,153.021
Wednesday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Wednesday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Wednesday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Wednesday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Wednesday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Thursday,07:45:00,166 Sydney Street,New Farm,4005,Metro Community Care,"Breakfast, Fruit & Veg",Free,Kitchen,Active,-27.465,153.05
Wednesday,08:30:00,105 Commercial Road,Newstead,4006,Footprints in Brisbane Inc,Lunch,Gold Coin,Kitchen,Active,-27.454,153.047
Wednesday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Thursday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Thursday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Thursday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Thursday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Thursday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Thursday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Friday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
Friday,07:00:00,"Wickham Park, Corner Wickham Terrace and Albert Street, (opposite Brisbane Private Hospital)",Spring Hill,4000,Eddies Morning Van,BBQ,Free,Van,Active,-27.464,153.02
Friday,07:00:00,Annie Street (turn left from Holman Street Ferry Terminal),Kangaroo Point,4169,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.466,153.034
Friday,06:30:00,"Kemp Place, Ivory Street, Opposite Fire Station",Fortitude Valley,4006,Jimmies Van,"BBQ breakfast of sausages, bacon and eggs",Free,Van,Active,-27.46,153.035
Friday,07:30:00,Wickham Park (corner of Albert St & Wickham Tce),Spring Hill,4000,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.465,153.021
Friday,08:00:00,Riverside Drive (car park near boat ramp),West End,4101,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.481,153.001
Friday,10:00:00,505 Brunswick Street,Fortitude Valley,4006,139 Club,Morning Tea,Free sausage roll or pie,Kitchen,Active,-27.461,153.038
Friday,17:30:00,"Sandgate Community Centre, 153 Rainbow Street",Sandgate,4107,Manna from Heaven Sandgate Inc.,Hot nutritious meal,Free,Kitchen,Active,-27.322,153.073
Friday,19:00:00,11 Quarry Street,Spring Hill,4000,Mama Renes,Hot Food,Free,Van,Active,-27.458,153.028
Friday,19:30:00,"Carey Park, Marine Pde (end of Short St)",Southport,4215,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-27.97,153.415
Friday,19:00:00,"Peoples Place Park (Car Park), Corner Station Road & Wembley Road",Logan,4114,Rosies Youth Mission Inc,Hot Drinks,Free,Van,Active,-27.641,153.106
Friday,20:00:00,"Outside Caboolture Train Station, 5 James Street",Caboolture,4510,Rosies Youth Mission Inc,Snacks and Drinks,Free,Van,Active,-27.083,152.952
Friday,19:30:00,"Felicity Park, 75 Bulcock Street",Caloundra,4551,Rosies Youth Mission Inc,Snacks and  Drinks,Free,Van,Active,-26.804,153.13
Friday,21:00:00,The Esplanade Beachside (end of Hanlan St),Surfers Paradise,4217,Rosies Youth Mission Inc,Food & Drinks,Free,Van,Active,-28.003,153.429
Saturday,06:30:00,Ivory Street (opposite Fire Station) / Harrison Lane,Fortitude Valley,4006,Ecumenical Coffee Brigade,"Sandwiches, fruit & hot drinks",Free,Van,Active,-27.46,153.034
