Provider ID,Region,Provider,Name,Address,Suburb,State,Postcode,Website,Phone Number,Email Address,Status
36,Queensland,"MATES BBQ, Marist College",John Smith,123 Smith Street,Ashgrove,QLD,4060,,(07) 1234 5678,example@email.com,Active
41,Queensland,Eddies Morning Van,John Smith,124 Smith Street,,,,,(07) 1234 5679,example@email.com,Active
44,Queensland,Rosies Youth Mission Inc,John Smith,125 Smith Street,Wynnum,QLD,4178,www.rosies.org.au,(07) 1234 5680,example@email.com,Active
51,Queensland,St Pauls Presbyterian Church,John Smith,126 Smith Street,Spring Hill,QLD,4000,www.stpaulspc.org.au,(07) 1234 5681,example@email.com,Active
54,Queensland,Vital Connection,John Smith,127 Smith Street,,,,www.vitalconnection.org,(07) 1234 5682,example@email.com,Active
55,Queensland,Drug Arm MOSHPIT,John Smith,128 Smith Street,Annerley,QLD,4103,www.drugarm.com.au,(07) 1234 5683,example@email.com,Active
56,Queensland,Drug Arm SOS (Street Outreach Service),John Smith,129 Smith Street,Annerley,QLD,4103,www.drugarm.com.au,(07) 1234 5684,example@email.com,Active
58,Queensland,Access Street Van,John Smith,130 Smith Street,Mansfield,QLD,4122,,(07) 1234 5685,example@email.com,Active
65,Queensland,Jimmies Van,John Smith,131 Smith Street,,QLD,,,(07) 1234 5686,example@email.com,Active
74,Queensland,139 Club,John Smith,132 Smith Street,Fortitude Valley,QLD,4006,www.139club.com.au,(07) 1234 5687,example@email.com,Active
75,Queensland,The Breakfast Club Redcliffe,John Smith,133 Smith Street,Redcliffe (next to the courthouse on the seafront),QLD,4020,www.thebreakfastclubredcliffe.weebly.com,(07) 1234 5688,example@email.com,Active
76,Queensland,Claver Cares Sunset in the Park,John Smith,134 Smith Street,Riverview,QLD,4303,www.spcc.qld.edu.au,(07) 1234 5689,example@email.com,Active
77,Queensland,Footprints in the Park,John Smith,135 Smith Street,Ipswich,QLD,4305,footprintsinthepark.org.au,(07) 1234 5690,example@email.com,Active
88,Queensland,Ecumenical Coffee Brigade,John Smith,136 Smith Street,Spring Hill,QLD,4004,www.coffeebrigade.org.au,(07) 1234 5691,example@email.com,Active
89,Queensland,Paddies Van,John Smith,137 Smith Street,Shorncliffe,QLD,4017,www.stpatricks.qld.edu.au,(07) 1234 5692,example@email.com,Active
100,Queensland,Loaves & Fishes Street Meet,John Smith,138 Smith Street,Kingston,QLD,4114,www.loavesandfishes.org.au,(07) 1234 5693,example@email.com,Active
102,Queensland,Footprints in Brisbane Inc,John Smith,139 Smith Street,Newstead,QLD,4006,www.footprintsinc.org.au,(07) 1234 5694,example@email.com,Active
103,Queensland,"Our Lady of the Rosary, Lunch with Friends",John Smith,140 Smith Street,Tweed Heads,NSW,2486,,(07) 1234 5695,example@email.com,Active
117,Queensland,Red Cross Youth Night Cafe,John Smith,141 Smith Street,Fortitude Valley,QLD,4006,www.redcross.org.au,(07) 1234 5696,example@email.com,Active
125,Queensland,The Rock Family and Community Support,John Smith,142 Smith Street,Capalaba,QLD,4157,www.facs.org.au,(07) 1234 5697,example@email.com,Active
127,Queensland,St Vinnies,John Smith,143 Smith Street,Sandgate,QLD,4017,,(07) 1234 5698,example@email.com,Active
150,Queensland,Angels Kitchen,John Smith,144 Smith Street,Southport,QLD,4215,,(07) 1234 5699,example@email.com,Active
155,Queensland,Anglican Crisis Care Inc & St John's Drop-in Centre,John Smith,145 Smith Street,Surfers Paradise,QLD,4217,www.spacc.org.au,(07) 1234 5700,example@email.com,Active
157,Queensland,Nudgee College BBQ,John Smith,146 Smith Street,Fortitude Valley,QLD,4006,,(07) 1234 5701,example@email.com,Active
161,Queensland,Valley Outreach,John Smith,147 Smith Street,,,,,(07) 1234 5702,example@email.com,Active
181,Queensland,The Shack - Nambour,John Smith,148 Smith Street,Nambour,QLD,4560,www.facebook.com/theshacknambour,(07) 1234 5703,example@email.com,Active
187,Queensland,Caboolture Community Action,John Smith,149 Smith Street,Caboolture,QLD,4510,www.caboolturecommunityaction.com,(07) 1234 5704,example@email.com,Active
191,Queensland,Helping Hands Queensland,John Smith,150 Smith Street,Corinda,QLD,4075,helpinghandsqld.org,(07) 1234 5705,example@email.com,Active
239,Queensland,Havafeed Community Relief,John Smith,151 Smith Street,Mermaid Beach,QLD,4218,www.havafeed.org/,(07) 1234 5706,example@email.com,Active
248,Queensland,Manna from Heaven Sandgate Inc.,John Smith,152 Smith Street,Boondall,QLD,4034,mfh.org.au,(07) 1234 5707,example@email.com,Active
249,Queensland,Fishers of Men,John Smith,153 Smith Street,Rochedale Sth,QLD,4123,www.fishersofmen.org.au,(07) 1234 5708,example@email.com,Active
529,Queensland,Friends of the Street,John Smith,154 Smith Street,Caboolture,QLD,4510,www.friendsofthestreet.com,(07) 1234 5709,example@email.com,Active
650,Queensland,Community Compassion,John Smith,155 Smith Street,"Woodend, Ipswich",QLD,4305,,(07) 1234 5710,example@email.com,Active
736,Queensland,Harvest Food Assist,John Smith,156 Smith Street,BALD HILLS,QLD,4036,www.whm.org.au,(07) 1234 5711,example@email.com,Active
979,Queensland,Keith's Community Breakfast,John Smith,157 Smith Street,Mitchelton,QLD,4053,,(07) 1234 5712,example@email.com,Active
1003,Queensland,Community Friends,John Smith,158 Smith Street,West End,QLD,4101,,(07) 1234 5713,example@email.com,Active
1083,Queensland,Moreton Bay Regional Community Response,John Smith,159 Smith Street,Burpengary,QLD,4505,www.moretonbayregionalcommunityresponse.com,(07) 1234 5714,example@email.com,Active
1111,Queensland,Street Arm,John Smith,160 Smith Street,New Farm,QLD,4005,,(07) 1234 5715,example@email.com,Active
1113,Queensland,A Touch of Compassion Inc.,John Smith,161 Smith Street,,,,www.atoc.org.au,(07) 1234 5716,example@email.com,Active
1115,Queensland,St Mary's Coptic Orthodox Church Outreach,John Smith,162 Smith Street,,,,,(07) 1234 5717,example@email.com,Active
1117,Queensland,Lighthouse Care Caboolture,John Smith,163 Smith Street,Caboolture,QLD,4510,https://www.facebook.com/lighthousecarecaboolture,(07) 1234 5718,example@email.com,Active
1123,Queensland,Street Doctor,John Smith,164 Smith Street,Logan Central,QLD,4114,www.facebook.com/streetdoctoraustralia,(07) 1234 5719,example@email.com,Active
1137,Queensland,Tautoko Crew,John Smith,165 Smith Street,Runcorn,QLD,4109,www.facebook.com/TautokoCrew,(07) 1234 5720,example@email.com,Active
1143,Queensland,Light House Community Services,John Smith,166 Smith Street,Reedy Creek,QLD,4227,,(07) 1234 5721,example@email.com,Active
1145,Queensland,Hope Within Reach,John Smith,167 Smith Street,Maroochydore,QLD,4558,,(07) 1234 5722,example@email.com,Active
